port,protocolo,estado,flags
408,udp,abierto|filtrado,
409,tcp,cerrado,
409,udp,filtrado,
410,tcp,filtrado,
410,udp,abierto|filtrado,
411,tcp,cerrado,
411,udp,abierto|filtrado,
412,tcp,cerrado,
412,udp,filtrado,
413,tcp,filtrado,
413,udp,filtrado,
414,tcp,filtrado,
414,udp,filtrado,
415,tcp,cerrado,
415,udp,abierto|filtrado,
416,tcp,cerrado,
416,udp,abierto|filtrado,
417,tcp,cerrado,
417,udp,filtrado,
418,tcp,filtrado,
418,udp,filtrado,
419,tcp,filtrado,
419,udp,filtrado,
420,tcp,cerrado,
420,udp,abierto|filtrado,
421,tcp,cerrado,
421,udp,abierto|filtrado,
422,tcp,cerrado,
422,udp,filtrado,
423,tcp,filtrado,
423,udp,filtrado,
424,tcp,filtrado,
424,udp,filtrado,
425,tcp,cerrado,
425,udp,abierto|filtrado,
426,tcp,cerrado,
426,udp,abierto|filtrado,
427,tcp,cerrado,
427,udp,filtrado,
428,tcp,filtrado,
428,udp,filtrado,
429,tcp,filtrado,
429,udp,filtrado,
430,tcp,cerrado,
430,udp,abierto|filtrado,
431,tcp,cerrado,
431,udp,abierto|filtrado,
432,tcp,cerrado,
432,udp,filtrado,
433,tcp,filtrado,
433,udp,filtrado,
434,tcp,filtrado,
434,udp,filtrado,
435,tcp,cerrado,
435,udp,abierto|filtrado,
436,tcp,cerrado,
436,udp,abierto|filtrado,
437,tcp,cerrado,
437,udp,filtrado,
438,tcp,filtrado,
438,udp,filtrado,
439,tcp,filtrado,
439,udp,filtrado,
440,tcp,filtrado,
440,udp,filtrado,
441,tcp,cerrado,
441,udp,abierto|filtrado,
442,tcp,cerrado,
442,udp,abierto|filtrado,
443,tcp,abierto,SA
443,udp,filtrado,
444,tcp,cerrado,
444,udp,abierto|filtrado,
445,tcp,filtrado,
445,udp,abierto|filtrado,
446,tcp,cerrado,
446,udp,filtrado,
447,tcp,cerrado,
447,udp,filtrado,
448,tcp,cerrado,
448,udp,abierto|filtrado,
449,tcp,cerrado,
449,udp,abierto|filtrado,
450,tcp,cerrado,
450,udp,filtrado,
451,tcp,filtrado,
451,udp,filtrado,
452,tcp,filtrado,
452,udp,filtrado,
453,tcp,filtrado,
453,udp,filtrado,
454,tcp,cerrado,
454,udp,abierto|filtrado,
455,tcp,cerrado,
455,udp,abierto|filtrado,
456,tcp,cerrado,
456,udp,filtrado,
457,tcp,filtrado,
457,udp,filtrado,
458,tcp,filtrado,
458,udp,filtrado,
459,tcp,cerrado,
459,udp,abierto|filtrado,
460,tcp,cerrado,
460,udp,abierto|filtrado,
461,tcp,cerrado,
461,udp,filtrado,
462,tcp,filtrado,
462,udp,filtrado,
463,tcp,filtrado,
463,udp,filtrado,
464,tcp,filtrado,
464,udp,filtrado,
465,tcp,cerrado,
465,udp,abierto|filtrado,
466,tcp,cerrado,
466,udp,abierto|filtrado,
467,tcp,cerrado,
467,udp,filtrado,
468,tcp,filtrado,
468,udp,filtrado,
469,tcp,filtrado,
469,udp,filtrado,
470,tcp,cerrado,
470,udp,abierto|filtrado,
471,tcp,cerrado,
471,udp,abierto|filtrado,
472,tcp,cerrado,
472,udp,filtrado,
473,tcp,filtrado,
473,udp,filtrado,
474,tcp,filtrado,
474,udp,filtrado,
475,tcp,filtrado,
475,udp,filtrado,
476,tcp,cerrado,
476,udp,abierto|filtrado,
477,tcp,cerrado,
477,udp,abierto|filtrado,
478,tcp,cerrado,
478,udp,filtrado,
479,tcp,filtrado,
479,udp,filtrado,
480,tcp,filtrado,
480,udp,filtrado,
481,tcp,cerrado,
481,udp,abierto|filtrado,
482,tcp,cerrado,
482,udp,abierto|filtrado,
483,tcp,cerrado,
483,udp,filtrado,
484,tcp,filtrado,
484,udp,filtrado,
485,tcp,filtrado,
485,udp,filtrado,
486,tcp,filtrado,
486,udp,filtrado,
487,tcp,cerrado,
487,udp,abierto|filtrado,
488,tcp,cerrado,
488,udp,abierto|filtrado,
489,tcp,cerrado,
489,udp,filtrado,
490,tcp,filtrado,
490,udp,filtrado,
491,tcp,filtrado,
491,udp,filtrado,
492,tcp,cerrado,
492,udp,abierto|filtrado,
493,tcp,cerrado,
493,udp,abierto|filtrado,
